x,y
0.0,0.0
0.1,0.0996679946249559
0.2,0.197375320224904
0.30000000000000004,0.2913126124515908
0.4,0.379948962255225
0.5,0.4621171572600098
0.6000000000000001,0.5370495669980355
0.7000000000000001,0.6043677771171636
0.8,0.6640367702678489
0.9,0.7162978701990246
1.0,0.7615941559557646
1.1,0.8004990217606296
1.2000000000000002,0.8336546070121553
1.3,0.8617231593133066
1.4000000000000001,0.8853516482022625
1.5,0.9051482536448667
1.6,0.9216685544064713
1.7000000000000002,0.9354090706030991
1.8,0.9468060128462681
1.9000000000000001,0.9562374581277389
2.0,0.9640275800758169
2.1,0.9704519366134539
2.2,0.9757431300314514
2.3000000000000003,0.9800963962661915
2.4000000000000004,0.9836748576936802
2.5,0.9866142981514305
